id,title,sector,host_state,treaty,arbitration_rules,outcome
1126,"SeÃ±orÂ Tza Yap Shum v. The Republic of Peru, ICSID Case No. ARB/07/6",,PER,China-Peru BIT,ICSID,
1132,"Ulysseas, Inc. v. The Republic of Ecuador, UNCITRAL",,ECU,Ecuador-United States BIT,UNCITRAL,
1130,"Ulemek v. Croatia, UNCITRAL",,HRV,Canada-Croatia BIT,UNCITRAL,
2095,"UAB E energija (Lithuania) v. Republic of Latvia, ICSID Case No. ARB/12/33","Electricity, gas, steam and air conditioning supply",LVA,Latvia-Lithuania BIT,ICSID,In favour of Investor
1903,"U.S. Steel Global Holdings I B.V. v. The Slovak Republic, UNCITRAL, PCA Case No. 2013-6",,SVK,Netherlands-Slovak Repubic BIT,UNCITRAL,
2093,"Tullow Uganda Operations PTY LTD v. Republic of Uganda, ICSID Case No. ARB/12/34",,UGA,Uganda-United Kingdom BIT,ICSID,
2735,"Turkcell Ä°letiÅŸim Hizmetleri A.Å_. v. The Islamic Republic of Iran, UNCITRAL",Information and communication,Iran,Iran-Turkey BIT,UNCITRAL,
2988,"TSIKinvest LLC v. Republic of Moldova, SCC Emergency Arbitration No. EA (2014/053)",Financial and insurance activities,MDA,Moldova-Russian Federation BIT,SCC,
1124,"Tulip Real Estate and Development Netherlands B.V. v. Republic of Turkey, ICSID Case No. ARB/11/28",,TUR,Netherlands-Turkey BIT,ICSID,
1118,"TSA Spectrum de Argentina S.A. v. Argentine Republic, ICSID Case No. ARB/05/5",,ARG,Argentina-Netherlands BIT,ICSID,
1113,"Trans-Global Petroleum, Inc. v.Â The Hashemite Kingdom of Jordan, ICSID Case No. ARB/07/25",,JOR,Jordan-United States BIT,ICSID,
2091,"Transban Investments Corp. v. Bolivarian Republic of Venezuela, ICSID Case No. ARB/12/24",,VEN,Barbados-Venezuela BIT,ICSID,
2408,"TRACO Deutsche Travertinwerke GmbH v. The Republic of Poland, UNCITRAL",,POL,Germany-Poland BIT,UNCITRAL,
2242,"Transglobal Green Energy, LLC and Transglobal Green Energy de Panama, S.A. v. The Republic of Panama, ICSID Case No. ARB/13/28","Electricity, gas, steam and air conditioning supply",PAN,Panama-United States of America BIT,ICSID,In favour of State
1093,"Telenor Mobile Communications A.S. v. The Republic of Hungary, ICSID Case No. ARB/04/15",,HUN,Hungary-Norway BIT,ICSID,
1108,"Toto Costruzioni Generali S.p.A. v. The Republic of Lebanon, ICSID Case No. ARB/07/12",,LBN,Italy-Lebanon BIT,ICSID,
1099,"Tokios TokelÃ©s v. Ukraine, ICSID Case No. ARB/02/18",,UKR,Lithuania-Ukraine BIT,ICSID,
1105,"Total S.A. v. The Argentine Republic, ICSID Case No. ARB/04/01",,ARG,Argentina-France BIT,ICSID,
1087,"TÃ©cnicas Medioambientales Tecmed, S.A. v. The United Mexican States, ICSID Case No. ARB (AF)/00/2",,MEX,Mexico-Spain BIT,ICSID Additional Facility,
1629,"TECO Guatemala Holdings, LLC v. Republic of Guatemala, ICSID Case No. ARB/10/23","Electricity, gas, steam and air conditioning supply",GTM,CAFTA,ICSID,In favour of Investor
1631,"Tethyan Copper Company Pty Limited v. Islamic Republic of Pakistan, ICSID Case No. ARB/12/1",,PAK,Australia-Pakistan BIT,ICSID,
1091,"Telekom Malaysia Berhad v. The Republic of Ghana, Case No. HA/RK 2004, 667",,GHA,Ghana-Malaysia BIT,UNCITRAL,
1200,"Telekom Malaysia Berhad v. The Republic of Ghana, Case No. HA/RK 2004, 788",,GHA,Ghana-Malaysia BIT,UNCITRAL,
1089,"TelefÃ_nica S.A. v. The Argentine Republic, ICSID Case No. ARB/03/20",,ARG,Argentina-Spain BIT,ICSID,
2084,"Tenaris S.A. and Talta - Trading e Marketing Sociedade Unipessoal Lda. v. Bolivarian Republic of Venezuela, ICSID Case No. ARB/11/26",,VEN,Luxembourg-Venezuela BIT,ICSID,In favour of Investor
1477,"TelefÃ_nica S.A. v. United Mexican States,Â ICSID Case No. ARB(AF)/12/4",,MEX,Mexico-Spain BIT,ICSID Additional Facility,
1072,"Tanmiah v. Tunisia, Arab Investment Court",,TUN,Arab Investment Agreement,,
1057,"Suez, Sociedad General de Aguas de Barcelona, S.A.and Vivendi Universal, S.A. v. Argentine Republic, ICSID Case No. ARB/03/19 (formerlyÂ Aguas Argentinas, S.A.,Â Suez, Sociedad General de Aguas de Barcelona, S.A.and Vivendi Universal, S.A. v. Argentine Re",,ARG,Argentina-France BIT,ICSID,
1066,"Swembalt AB, Sweden v. The Republic of Latvia, UNCITRAL",,LVA,Latvia-Sweden BIT,UNCITRAL,
6637,"KS Invest GmbH and TLS Invest GmbH v. Kingdom of Spain, ICSID Case No. ARB/15/25","Electricity, gas, steam and air conditioning supply",,Energy Charter Treaty,ICSID,
1516,"Swisslion DOO Skopje v. The Former Yugoslav Republic of Macedonia, ICSID Case No. ARB/09/16",,MKD,Macedonia (former Yugoslav Republic of Macedonia)-Swiss BIT,ICSID Additional Facility,
597,"Talsud S.A. v. The United Mexican States, ICSID Case No. ARB(AF)/04/4",Transportation and storage,MEX,Argentina-Mexico BIT,ICSID Additional Facility - Arbitration Rules,In favour of State
